lsoa21cd,lsoa21nm,cluster_type,pop_label,joint_type,housing_score,pop_score,joint_score,pop_vuln_score,priority_score,priority_tier,HEI_bayes,HEI_adjusted,pct_poor_health,pct_low_nssec,pct_elderly_alone,pct_dep_children,pct_deprived_2plus,pct_long_commute,pct_large_hh,avg_epc_rating_num_al,overcrowding_proxy_al,median_house_price_al,transport_ptai_al,hospital_al
E01003943,Southwark 009C,B,Deprived,Transitional,2,4,6,0.5505312198323591,0.8092485549132948,Tier 5 (highest),0.7042623031951204,0.5562997135907525,0.0508701472556894,0.3863453815261044,0.06984667802385,0.2674616695059625,0.2559322033898305,0.0244215938303341,0.1071428571428571,0.5210344239299767,0.7803234095519416,0.1640572622944364,0.3688565100774926,0.9381643287868328
E01003945,Southwark 033A,A,Family,Transitional,1,2,3,0.36142427608469674,0.1791907514450867,Tier 1 (lowest),0.0947922347739692,0.2579851942249335,0.0253894979803808,0.1761695906432748,0.09375,0.3260869565217391,0.1153846153846153,0.0172786177105831,0.058663028649386,0.7287363351036243,0.1764350811755929,0.1206767362069652,0.9780924330209292,0.1089193610357328
E01003946,Southwark 033B,A,Family,Transitional,1,2,3,0.46194925351770627,0.31213872832369943,Tier 1 (lowest),0.2725840948484976,0.2654387483078683,0.036144578313253,0.1877523553162853,0.1302631578947368,0.3552631578947368,0.1326259946949602,0.0199115044247787,0.0972037283621837,0.6796162129466683,0.1742788419356301,0.2665930512284591,0.9530280836845112,0.3354089034810311
E01003947,Southwark 033C,A,Deprived,Transitional,1,4,5,0.6530242210163453,0.49421965317919075,Tier 3,0.1922285696013202,0.5805896954925229,0.0436408977556109,0.3910422049956933,0.0678807947019867,0.4652317880794702,0.3031825795644891,0.0314960629921259,0.1056105610561056,0.422777268599905,0.6805398998393177,0.0047324210277241,0.9530616761707776,0.1434100566008039
E01003948,Southwark 033D,C,Family,Housing Disadvantage,3,2,5,0.3123991805129381,0.2861271676300578,Tier 1 (lowest),0.5303302436115558,0.3080631494930468,0.028,0.1725852272727272,0.0888610763454317,0.2941176470588235,0.1132075471698113,0.0119880119880119,0.0314465408805031,0.5438061260201106,0.4778146764118346,0.112789367827425,0.8852414531334443,0.6383974100714216
E01003949,Southwark 032A,A,Family,Transitional,1,2,3,0.3621131892284167,0.18208092485549132,Tier 1 (lowest),0.0922606466817343,0.4657787171929789,0.0435706695005313,0.170873786407767,0.0741599073001158,0.2595596755504055,0.1574074074074074,0.0186393289841565,0.0450346420323325,0.5386854565629311,0.4086395450536496,0.1039160784004423,0.9514396982227704,0.0888165152170047
E01003950,Southwark 032B,A,Deprived,Transitional,1,4,5,0.5357719555308583,0.37572254335260113,Tier 2,0.0176563536521614,0.549323163723253,0.0548289738430583,0.3114856429463171,0.0761670761670761,0.3402948402948403,0.2272727272727272,0.0262881177707676,0.0776818742293464,0.3946201866769475,0.4632126514450421,0.0437748945064482,0.9547735451237016,0.0417547100345367
E01003951,Southwark 033E,D,Family,Housing Disadvantage,4,2,6,0.3954564831159823,0.37283236994219654,Tier 2,0.5091022174688566,0.0495387872992774,0.0282828282828282,0.1483333333333333,0.1341911764705882,0.2886029411764705,0.1197822141560798,0.0199692780337941,0.0723327305605786,0.8704337926452608,0.0525085088808562,0.3454667350238612,0.993503815539826,0.5635527290088169
E01003952,Southwark 030A,D,Family,Housing Disadvantage,4,2,6,0.33433800537058633,0.6069364161849711,Tier 4,0.8041334029991286,0.1528546185028649,0.031363088057901,0.1646706586826347,0.0690161527165932,0.2980910425844346,0.1193595342066957,0.0170340681362725,0.0537790697674418,0.7313134986839334,0.3139759687017317,0.3612414717829417,0.873194814308403,0.9083281820896132
E01003953,Southwark 028A,D,Family,Housing Disadvantage,4,2,6,0.2623867520979922,0.5346820809248555,Tier 3,0.7689716171896053,0.1320414361355029,0.0384615384615384,0.1461716937354988,0.0748155953635405,0.2012644889357218,0.1178343949044586,0.0075757575757575,0.0327004219409282,0.6517141008742429,0.4219432603555071,0.1325077887762756,0.8637899549588937,0.9335828458878134
