lsoa21cd,lsoa21nm,HEI_pca,HEI_quintile,HCI,HCI_quintile,Affordability,Aff_quintile,median_house_price,transport_ptai,hospital,avg_epc_rating_num,overcrowding_proxy
E01033874,Southwark 009H,0.445359382869322,Q3,0.4260736338121427,Q2,0.05585740603929562,Q1 (most affordable),355000.0,58.5998,1.0031746031746032,5.0,0.0049921100692918
E01033875,Southwark 012G,0.4092231163765919,Q2,0.5964690395939966,Q5 (worst condition),0.24756623306182368,Q4,560000.0,45.0002,1.3376068376068375,4.483443708609271,0.0046516202759685
E01033876,Southwark 012H,0.4092231163765919,Q2,0.4991286485252747,Q3,0.24756623306182368,Q4,560000.0,45.0002,1.2595238095238095,4.5814814814814815,0.0042594599147052
E01033882,Southwark 022G,0.3351674561453642,Q2,0.4522170933402829,Q2,0.19145633246986427,Q3,500000.0,26.6419,1.4348484848484848,4.445193929173693,0.0032785024511929
E01033883,Southwark 022H,0.3351674561453642,Q2,0.716932118537133,Q5 (worst condition),0.19145633246986427,Q3,500000.0,26.6419,1.7488505747126435,4.046948356807512,0.0037769672091757
E01033885,Southwark 036A,0.1113786926812219,Q1 (best),0.5220803713241028,Q4,0.8928300898693571,Q5 (least affordable),1250000.0,70.7293,1.140079365079365,4.642628205128205,0.0047155247456808
E01003911,Southwark 020A,0.656308054932155,Q5 (worst),0.5753468229756321,Q5 (worst condition),0.121318956729915,Q2,425000.0,14.285,1.0262345679012346,4.4167725540025415,0.0041870388692325
E01003914,Southwark 024B,0.5161413996037427,Q4,0.4930063201602214,Q3,0.3013382211291181,Q4,617500.0,13.8509,0.9488505747126436,4.218228498074454,0.0026407346742153
E01003915,Southwark 024C,0.4227637859595917,Q3,0.37359450423645646,Q1 (best condition),0.12085137422498199,Q2,424500.0,7.36537,1.5219999999999998,4.637575757575758,0.0034501969966863
E01003917,Southwark 020C,0.5239393924104478,Q4,0.4932200972105353,Q3,0.06333872611822355,Q1 (most affordable),363000.0,12.0831,1.261111111111111,4.428246013667426,0.0035487597600197
E01003922,Southwark 021D,0.6344681678071067,Q5 (worst),0.6463933372296775,Q5 (worst condition),0.10261565653259513,Q2,405000.0,27.1055,1.1175675675675676,4.4375678610206295,0.0048717655492851
E01003930,Southwark 034A,0.0012001797977121,Q1 (best),0.585754753063713,Q5 (worst condition),0.43436544378255526,Q5 (least affordable),759750.0,98.7026,1.08843537414966,4.32421875,0.0038748285632275
E01003942,Southwark 006D,0.41146644270346,Q2,0.49801741945606715,Q3,0.1797667698465394,Q3,487500.0,30.0469,1.378125,4.552352048558422,0.0041244589154277
E01003952,Southwark 030A,0.5701591667039994,Q4,0.536996253736303,Q4,0.42524758493636183,Q5 (least affordable),750000.0,16.5506,0.7705882352941176,4.152832674571805,0.002726951814102
E01003955,Southwark 028B,0.4278744037737507,Q3,0.4992107926664965,Q3,0.4046739547193101,Q5 (least affordable),728000.0,11.1178,1.5613095238095238,4.258064516129032,0.00286458949816
E01003956,Southwark 030C,0.5565130216295792,Q4,0.49907768306957445,Q3,0.3118588274901105,Q5 (least affordable),628750.0,11.4817,0.8686666666666666,4.211286089238845,0.0026616237858977
E01003960,Southwark 012A,0.2288368138441522,Q1 (best),0.4480288709111706,Q2,0.15311456706535864,Q2,459000.0,32.6668,1.7263440860215054,4.467376830892144,0.0033391474900337
E01003976,Southwark 036D,0.5587614735098214,Q4,0.47853253818854746,Q3,0.23821458296316378,Q4,550000.0,21.5032,1.034502923976608,4.657297297297298,0.0044141220049799
E01003977,Southwark 010A,0.5641762168419335,Q4,0.40912730065359215,Q1 (best condition),0.04416784341597074,Q1 (most affordable),342500.0,7.06045,1.2453125,4.7583965330444205,0.0042691208260688
E01003979,Southwark 006E,0.5541411962168671,Q4,0.527056461805893,Q4,0.24055249548782875,Q4,552500.0,18.2871,1.3407907425265189,4.583516483516483,0.004502128401143
E01003980,Southwark 013A,0.5536908121483877,Q4,0.4668018500324216,Q2,0.016660899815772512,Q1 (most affordable),313086.0,15.5438,1.1288617886178862,4.6228991596638656,0.0041674514141674
E01003999,Southwark 014E,0.4835219023655943,Q3,0.5710159029841309,Q5 (worst condition),0.013307398090393052,Q1 (most affordable),309500.0,18.3586,1.5630434782608698,4.352180936995153,0.0038720530138906
E01004010,Southwark 022D,0.5725951852673848,Q5 (worst),0.5292998915375725,Q4,0.0675469686626205,Q1 (most affordable),367500.0,25.2333,0.8848484848484848,4.49923896499239,0.0041572552984108
E01004013,Southwark 019D,0.4398296036592756,Q3,0.24852935564303405,Q1 (best condition),0.07456070623661543,Q2,375000.0,14.4653,0.8407407407407408,4.892193308550186,0.0035014983954821
E01004014,Southwark 019E,0.23329937678628,Q1 (best),0.4601944909503125,Q2,0.0036985776140200377,Q1 (most affordable),299225.0,6.73928,2.2887096774193547,4.678456591639871,0.0043518494404744
E01004021,Southwark 028D,0.5202135091235183,Q4,0.5475727062914922,Q4,0.2265250203398389,Q4,537500.0,16.2104,1.311904761904762,4.325559701492537,0.0035608512224132
E01004023,Southwark 004D,0.4456521410506526,Q3,0.42748066435906396,Q2,0.20548380761785412,Q4,515000.0,14.8683,1.4458333333333333,4.620833333333334,0.0038292337190252
E01004030,Southwark 007A,0.5597279431444567,Q4,0.45399444994307125,Q2,0.2849728334564633,Q4,600000.0,20.2074,0.8158730158730159,4.573705179282869,0.0038479189635941
E01004032,Southwark 001B,0.1389085070070684,Q1 (best),0.38032832987844545,Q1 (best condition),0.2766208747533502,Q4,591069.0,18.9261,2.380740740740741,4.5568862275449105,0.0031584119890159
E01004034,Southwark 007D,0.5508009809853496,Q4,0.5442844219170088,Q4,0.07923653128594538,Q2,380000.0,17.0703,1.4097701149425288,4.533026113671275,0.0044285394332563
E01004037,Southwark 010B,0.731001063339936,Q5 (worst),0.6348101668544154,Q5 (worst condition),0.04180655176605913,Q1 (most affordable),339975.0,12.224,1.325,4.581257413997627,0.0053947865508122
E01004042,Southwark 010D,0.3769920531511539,Q2,0.3901786844532886,Q1 (best condition),0.06765918846380442,Q1 (most affordable),367620.0,9.92028,1.825,4.697368421052632,0.0038470926702315
E01004043,Southwark 010E,0.3357379741249078,Q2,0.39038410469331963,Q1 (best condition),0.217640952746112,Q4,528000.0,7.1296,1.8688172043010751,4.518348623853211,0.003076334751103
E01004047,Southwark 027B,0.6445552969378925,Q5 (worst),0.44949764185439534,Q2,0.06053323108862557,Q1 (most affordable),360000.0,14.5472,0.675,4.645,0.004117899765099
E01004051,Southwark 027E,0.5380037986589623,Q4,0.5377652647200344,Q4,0.11664313168058504,Q2,420000.0,21.4085,0.8965277777777777,4.268562401263823,0.0032327708908682
E01004060,Southwark 008E,0.2952277285564561,Q2,0.42698638672032896,Q2,0.16854478972814751,Q3,475500.0,19.2869,1.889430894308943,4.552795031055901,0.0035315060367222
E01004066,Southwark 025E,0.5126511414801322,Q4,0.4583849579479077,Q2,0.1984700700438592,Q3,507500.0,23.8717,0.7662280701754386,4.465005931198102,0.0034156461896569
E01032584,Southwark 034E,0.0241003799815578,Q1 (best),0.49684480736862857,Q3,0.18678050742053431,Q3,495000.0,121.887,0.7785185185185185,4.600903614457831,0.0043241407583761
E01032646,Southwark 036B,0.3041147490928647,Q2,0.4732176736837086,Q2,0.2265250203398389,Q4,537500.0,51.0127,1.1298850574712644,4.636054421768708,0.0042779476140669
E01033871,Southwark 004H,0.6417998658487835,Q5 (worst),0.4315872231128993,Q2,0.025183993715691133,Q1 (most affordable),322200.0,15.2282,0.5804347826086956,4.601321585903084,0.0037794309180842
E01033877,Southwark 012I,0.4092231163765919,Q2,0.542694290524547,Q4,0.24756623306182368,Q4,560000.0,45.0002,1.7366666666666668,4.498947368421053,0.0042681712663013
E01033878,Southwark 015F,0.5973724483229351,Q5 (worst),0.5938946739359343,Q5 (worst condition),0.14469808197656475,Q2,450000.0,12.6048,1.3144444444444443,4.31042654028436,0.0038834840595596
E01033879,Southwark 015G,0.50375199501692,Q4,0.39411255859077743,Q1 (best condition),0.1774288573218744,Q3,,6.82276,1.3004761904761903,4.647058823529412,0.0036629496154627
E01003916,Southwark 020B,0.5261970857590156,Q4,0.4753164350452491,Q3,0.11243488913618804,Q2,415500.0,7.25009,1.3159420289855073,4.424688561721404,0.0033834712037301
E01003918,Southwark 020D,0.7190127316403281,Q5 (worst),0.5824622016527634,Q5 (worst condition),0.07923653128594538,Q2,380000.0,18.7464,0.6363095238095238,4.432323232323232,0.004313729966
E01003920,Southwark 021B,0.6524878616884136,Q5 (worst),0.6091892583894261,Q5 (worst condition),0.03481619331731084,Q1 (most affordable),332500.0,21.9918,1.0484375,4.476327116212339,0.004727440024152
E01003932,Southwark 034B,0.2207183961042672,Q1 (best),0.6260961579844421,Q5 (worst condition),0.1306706068285749,Q2,435000.0,78.2513,0.9747619047619048,4.319148936170213,0.0041907997003052
E01003947,Southwark 033C,0.3065634162350646,Q2,0.5491521034502589,Q4,0.0025530004769341863,Q1 (most affordable),298000.0,8.84743,2.8244444444444445,4.507154213036566,0.0043576664763539
E01003957,Southwark 032C,0.2819230013145813,Q1 (best),0.5408991786839804,Q4,0.3925168095910522,Q5 (least affordable),715000.0,9.48494,2.3146666666666667,4.1034013605442174,0.0025463394005094
E01003961,Southwark 012B,0.6270342414413357,Q5 (worst),0.552228349097505,Q5 (worst condition),0.1774288573218744,Q3,,21.5532,0.9744444444444444,4.548458149779735,0.004561657437912
E01003990,Southwark 018D,0.3638737223238256,Q2,0.41378975844410393,Q1 (best condition),0.03481619331731084,Q1 (most affordable),332500.0,11.0672,1.8693798449612404,4.622222222222222,0.0037205694556583
E01003994,Southwark 012E,0.2386254297270138,Q1 (best),0.49164250181026137,Q3,0.25224205811115363,Q4,565000.0,35.947,1.8135416666666664,4.458823529411765,0.0036674911722783
E01004001,Southwark 026B,0.3963106355301093,Q2,0.4332989633869493,Q2,0.2503717280914216,Q4,563000.0,8.26902,1.7446078431372547,4.483425414364641,0.003285039111777
E01004011,Southwark 019B,0.3714830822291928,Q2,0.26639441301212996,Q1 (best condition),0.05585740603929562,Q1 (most affordable),355000.0,10.4316,1.401219512195122,4.8952802359882,0.0036548427505639
E01004012,Southwark 019C,0.3491129084185159,Q2,0.3127145325033929,Q1 (best condition),0.009099155545996107,Q1 (most affordable),305000.0,5.62015,1.786388888888889,4.787654320987654,0.0035879403955889
