lsoa21cd,lsoa21nm,HEI_pca,HCI,Affordability,lisa_I,lisa_q,lisa_p,lisa_label,lisa_label_01
E01003916,Southwark 020B,0.5261970857590156,0.4753164350452491,0.112434889136188,0.369362126048959,1,0.018,HH,ns
E01003918,Southwark 020D,0.7190127316403281,0.5824622016527634,0.0792365312859453,1.2831522916963223,1,0.015,HH,ns
E01003920,Southwark 021B,0.6524878616884136,0.6091892583894261,0.0348161933173108,1.6127195492689412,1,0.003,HH,HH
E01003932,Southwark 034B,0.2207183961042672,0.6260961579844421,0.1306706068285749,1.3071445688965435,3,0.004,LL,LL
E01003947,Southwark 033C,0.3065634162350646,0.5491521034502589,0.0025530004769341,0.7308693800961904,3,0.051,ns,ns
E01003957,Southwark 032C,0.2819230013145813,0.5408991786839804,0.3925168095910522,0.8401911089630559,3,0.013,LL,ns
E01003961,Southwark 012B,0.6270342414413357,0.552228349097505,0.1774288573218744,0.2156455186559837,1,0.269,ns,ns
E01003990,Southwark 018D,0.3638737223238256,0.4137897584441039,0.0348161933173108,-0.029288002683943572,2,0.429,ns,ns
E01003994,Southwark 012E,0.2386254297270138,0.4916425018102613,0.2522420581111536,0.10654619243545398,3,0.391,ns,ns
E01004001,Southwark 026B,0.3963106355301093,0.4332989633869493,0.2503717280914216,0.04323642933436839,3,0.303,ns,ns
E01004011,Southwark 019B,0.3714830822291928,0.2663944130121299,0.0558574060392956,-0.003409967515820327,2,0.5,ns,ns
E01004012,Southwark 019C,0.3491129084185159,0.3127145325033929,0.0090991555459961,-0.1001815679413935,2,0.29,ns,ns
E01004028,Southwark 004E,0.6738601368018361,0.5131290528856758,0.0,0.7333090761116534,1,0.067,ns,ns
E01004039,Southwark 013B,0.5442755075895976,0.6116792707651073,0.0979398314832651,0.22445503845285716,1,0.18,ns,ns
E01004040,Southwark 013C,0.4575084840992711,0.5001302323846412,0.1774288573218744,0.09160937020085362,1,0.063,ns,ns
E01004049,Southwark 027D,0.4912360863454884,0.4923078520094445,0.0932640064339352,0.13861533476820015,1,0.158,ns,ns
E01004054,Southwark 001D,0.3197678984211344,0.4524775054773271,0.1886508374402662,0.15283690812050918,3,0.321,ns,ns
E01004055,Southwark 001E,0.3058251062044756,0.3704785921029593,0.3036761336537831,0.044176683457947175,3,0.453,ns,ns
E01033873,Southwark 009G,0.445359382869322,0.6041470744935018,0.0558574060392956,-0.03494866130059488,4,0.074,ns,ns
E01003913,Southwark 024A,0.4557037117424525,0.4758977209524699,0.3551102091964125,0.11659602793757204,1,0.003,HH,HH
E01003939,Southwark 002E,0.1623395207748648,0.516763984748407,0.3270552589004328,1.4419621164454144,3,0.016,LL,ns
E01003966,Southwark 015B,0.5349703979550933,0.5853835677609366,0.0465057559406357,0.4032161996684242,1,0.034,HH,ns
E01003981,Southwark 006F,0.240604447430387,0.5427330939516032,0.710472912945489,1.0437563375608108,3,0.007,LL,LL
E01003983,Southwark 018A,0.4280735371544079,0.4607243155553704,0.1774288573218744,-0.013476995658106684,2,0.051,ns,ns
E01004035,Southwark 011D,0.4229009456145053,0.4046712464336475,0.1456332469864307,-0.04100012385497214,2,0.015,LH,ns
E01004041,Southwark 013D,0.5012730278245806,0.5138842096737046,0.1774288573218744,0.22681530047304313,1,0.101,ns,ns
E01004046,Southwark 028E,0.4605967730668291,0.5713785901399865,0.2802970084071333,-0.007127670162976841,4,0.454,ns,ns
E01004050,Southwark 024D,0.5265882827011622,0.5464542106178378,0.1540497320752246,0.018266359288969896,1,0.484,ns,ns
E01004058,Southwark 008C,0.37176310926977,0.3610812911989243,0.1220979491831333,0.06766827412248852,3,0.341,ns,ns
E01033868,Southwark 002G,0.3063598392316543,0.550717973658924,0.214835457716514,0.8683523788471337,3,0.002,LL,LL
E01033884,Southwark 035A,0.1113786926812219,0.3633753839638249,0.8928300898693571,2.2914739605361167,3,0.002,LL,LL
E01003921,Southwark 021C,0.6873765694072372,0.6171231961369967,0.1306706068285749,1.2392711687591322,1,0.014,HH,ns
E01003935,Southwark 002D,0.0738779537017852,0.4038210111886129,0.1774288573218744,3.516518236865577,3,0.002,LL,LL
E01003986,Southwark 011A,0.5835143995782481,0.4381537302821889,0.1774288573218744,0.7415059446867135,1,0.035,HH,ns
E01003987,Southwark 011B,0.5713999646457197,0.3792694872680316,0.0427650959011717,1.0655397371187119,1,0.002,HH,HH
E01004002,Southwark 029A,0.0059980546149179,0.3936511653744011,0.4720058354296613,1.3401073898484401,3,0.13,ns,ns
E01004005,Southwark 023D,0.4134332383015474,0.4492817653889829,0.0364527320845763,0.003861729321288267,3,0.468,ns,ns
E01004006,Southwark 023E,0.5448654995971725,0.4845384790032533,0.3943871396107842,0.16146596478277722,1,0.299,ns,ns
E01004020,Southwark 029D,0.3750384294172778,0.572599611356759,0.0698848811872854,0.4061614933377978,3,0.002,LL,LL
