lsoa21cd,lsoa21nm,HEI_bayes,HEI_bayes_uncert,HEI_quintile,HEI_adjusted,rank_bayes,rank_adjusted,rank_change,pop_cluster,pop_label,zone_type,pct_epc_ABC,pct_poor_health,pct_fair_health,pct_good_health,pct_high_nssec,pct_low_nssec,pct_intermediate,pct_elderly_alone,pct_single,pct_dep_children,pct_lone_parent,pct_long_commute,pct_home_work,pct_short_commute,pct_deprived_any,pct_deprived_2plus,pct_large_hh,pct_small_hh,overcrowding_proxy,transport_ptai,hospital,median_house_price,avg_epc_rating_num
E01004004,Southwark 023C,0.5648410277228159,0.31870926117236,Q3,0.33664069898204263,82.0,52.0,-30.0,0,Mixed_0,Mixed,42.8927680798005,0.04450361354127044,0.10688474705211107,0.8486116394066184,0.41011494252873565,0.2689655172413793,0.09885057471264368,0.07443082311733801,0.34938704028021017,0.2670753064798599,0.12259194395796848,0.030927835051546393,0.4865979381443299,0.18556701030927836,0.5388646288209606,0.22882096069868996,0.07618213660245184,0.6891418563922942,0.003588421503366,23.1322,1.18375,422500.0,4.4535353535353535
E01004005,Southwark 023D,0.4754655864724911,0.6702354911342737,Q2,0.4535801238258221,47.0,98.0,51.0,2,Deprived,Housing Advantaged,53.71477369769428,0.06287683031869079,0.11843238587424634,0.8186907838070628,0.3613312202852615,0.3623877443211833,0.08927628103539356,0.0775347912524851,0.37773359840954274,0.25745526838966204,0.13817097415506957,0.023993144815766924,0.44301628106255353,0.1953727506426735,0.6011964107676969,0.26520438683948155,0.07348560079443893,0.6941410129096326,0.0040229633865642,24.5143,1.3727272727272726,334250.0,4.6234177215189876
E01004006,Southwark 023E,0.7422998117711654,0.4873245997564347,Q5 (worst),0.22148397353705804,158.0,17.0,-141.0,0,Mixed_0,Housing Deprived,36.395348837209305,0.048465266558966075,0.10393107162089392,0.84760366182014,0.42115384615384616,0.2833333333333333,0.08717948717948718,0.07323232323232323,0.3282828282828283,0.26515151515151514,0.07954545454545454,0.01603206412825651,0.5090180360721442,0.20140280561122245,0.524904214559387,0.20178799489144317,0.07079646017699115,0.6219974715549936,0.0029028152684238,16.3159,0.8006172839506173,717000.0,4.295399515738499
E01004007,Southwark 018E,0.322570250660481,0.4182404430054002,Q1 (best),0.45103613973352635,16.0,94.0,78.0,2,Deprived,Housing Advantaged,65.7559198542805,0.04916897506925208,0.12049861495844875,0.8303324099722992,0.246415770609319,0.4381720430107527,0.08691756272401434,0.07734806629834254,0.289134438305709,0.3683241252302026,0.1878453038674033,0.046686746987951805,0.2710843373493976,0.2996987951807229,0.6415441176470589,0.2757352941176471,0.12754158964879853,0.5157116451016636,0.003546008244732,10.8004,1.8174603174603177,320000.0,4.721311475409836
E01004008,Southwark 022B,0.6504972269674713,0.4264707090888383,Q4,0.286845917397077,119.0,32.0,-87.0,2,Deprived,Housing Deprived,65.12758201701094,0.044561571633924296,0.10924772400574988,0.8461907043603258,0.27056019070321813,0.37842669845053634,0.09237187127532777,0.06567534076827757,0.29615861214374223,0.3023543990086741,0.1412639405204461,0.0374384236453202,0.3044334975369458,0.25320197044334974,0.6307884856070087,0.27909887359199,0.13291925465838508,0.5503105590062112,0.0035420603176233,28.8441,0.5166666666666667,306000.0,4.628930817610063
E01004010,Southwark 022D,0.6794179611417928,0.4229948354896772,Q4,0.35987136023354327,132.0,58.0,-74.0,2,Deprived,Housing Deprived,55.81395348837209,0.039150630391506305,0.0948905109489051,0.8659588586595885,0.280517380759903,0.36378334680679064,0.08649959579628133,0.0704,0.3488,0.3072,0.128,0.02977667493796526,0.34987593052109184,0.24441687344913152,0.606973058637084,0.2519809825673534,0.09305993690851735,0.6324921135646687,0.0041572552984108,25.2333,0.8848484848484848,367500.0,4.49923896499239
E01004011,Southwark 019B,0.4013176872262544,0.3232813540942897,Q1 (best),0.4835745722276099,31.0,114.0,83.0,2,Deprived,Housing Advantaged,63.02349336057201,0.05377358490566038,0.12264150943396226,0.8235849056603773,0.27199074074074076,0.3732638888888889,0.10011574074074074,0.07646356033452807,0.31780167264038234,0.2951015531660693,0.13620071684587814,0.04407443682664055,0.29774730656219395,0.31537708129285014,0.6391251518833536,0.28068043742405835,0.11538461538461539,0.5637019230769231,0.0036548427505639,10.4316,1.401219512195122,355000.0,4.8952802359882
E01004012,Southwark 019C,0.3223432555088087,0.185123370340056,Q1 (best),0.4528186364022749,15.0,97.0,82.0,2,Deprived,Housing Advantaged,70.21052631578948,0.03489361702127659,0.08297872340425531,0.882127659574468,0.33080808080808083,0.33535353535353535,0.09292929292929293,0.039045553145336226,0.30585683297180044,0.2885032537960954,0.11062906724511931,0.02669902912621359,0.36084142394822005,0.2766990291262136,0.5728155339805825,0.2308522114347357,0.0957562568008705,0.5767138193688792,0.0035879403955889,5.62015,1.786388888888889,305000.0,4.787654320987654
E01004013,Southwark 019D,0.5170644515080763,0.3945030452054275,Q2,0.4067463754830847,62.0,76.0,14.0,2,Deprived,Housing Advantaged,72.74052478134111,0.04994054696789536,0.13495838287752676,0.8151010701545779,0.3505866114561767,0.3636991028295376,0.11180124223602485,0.05045871559633028,0.24770642201834864,0.25382262996941896,0.11467889908256881,0.03337041156840934,0.3581757508342603,0.2625139043381535,0.6082949308755761,0.2534562211981567,0.10843373493975904,0.6009036144578314,0.0035014983954821,14.4653,0.8407407407407408,375000.0,4.892193308550186
E01004014,Southwark 019E,0.2665744023896738,0.4269884781894841,Q1 (best),0.5639562757170432,10.0,143.0,133.0,2,Deprived,Housing Advantaged,57.4002574002574,0.04096045197740113,0.13041431261770245,0.8286252354048964,0.2418260333127699,0.42751388032078963,0.07526218383713756,0.07212713936430318,0.3545232273838631,0.35574572127139364,0.1528117359413203,0.031578947368421054,0.23894736842105263,0.3294736842105263,0.6523341523341524,0.2641277641277641,0.1409313725490196,0.6004901960784313,0.0043518494404744,6.73928,2.2887096774193547,299225.0,4.678456591639871
E01004015,Southwark 028C,0.3089772841175393,0.4935448316527061,Q1 (best),0.2822853582916947,14.0,29.0,15.0,3,Family,Housing Advantaged,34.66135458167331,0.03270509977827051,0.07982261640798226,0.8874722838137472,0.46580907244414355,0.16452268111035884,0.06093432633716994,0.07183098591549296,0.28450704225352114,0.27887323943661974,0.07605633802816901,0.006600660066006601,0.592959295929593,0.13751375137513752,0.4553191489361702,0.16453900709219857,0.09631728045325778,0.5934844192634561,0.0027247923408311,10.0316,2.2516666666666665,476250.0,4.236514522821577
E01004016,Southwark 029B,0.0146840998612935,0.7258542034846219,Q1 (best),0.47341234850196234,1.0,108.0,107.0,3,Family,Housing Advantaged,37.29933899905571,0.0401854714064915,0.09582689335394126,0.8639876352395672,0.5230379746835443,0.19443037974683544,0.08556962025316456,0.07452165156092648,0.23867069486404835,0.37462235649546827,0.07653575025176233,0.016818500350385426,0.5795374912403644,0.11492641906096707,0.4324596774193548,0.16834677419354838,0.07265388496468214,0.5348133198789102,0.002678523917793,8.0044,3.550877192982456,449995.0,4.29221435793731
E01004017,Southwark 029C,0.0363873777713856,0.7152091179059326,Q1 (best),0.35313120824985955,3.0,56.0,53.0,3,Family,Housing Advantaged,29.82456140350877,0.0230722525804493,0.08075288403157256,0.8961748633879781,0.536697247706422,0.17507645259938837,0.0764525993883792,0.06471494607087827,0.24191063174114022,0.3559322033898305,0.07704160246533127,0.014054054054054054,0.5718918918918919,0.16324324324324324,0.3984615384615385,0.1,0.06933744221879815,0.5716486902927581,0.0023420392844825,7.87077,3.217948717948718,500000.0,4.161741835147745
E01004018,Southwark 032E,0.0782014499473098,0.506609878237242,Q1 (best),0.37482491311608873,5.0,62.0,57.0,3,Family,Housing Advantaged,32.21709006928407,0.0236096537250787,0.07450157397691501,0.9018887722980063,0.6284372904091214,0.1341381623071764,0.06371562709590879,0.07345360824742268,0.2693298969072165,0.3389175257731959,0.059278350515463915,0.01060070671378092,0.6236749116607774,0.1254416961130742,0.38254172015404364,0.09370988446726572,0.05012853470437018,0.5951156812339332,0.0025292207584616,6.66859,3.0785714285714287,510000.0,4.219424460431655
E01004019,Southwark 026C,0.526251008880586,0.3307615250478037,Q2,0.2972140507575301,64.0,37.0,-27.0,0,Mixed_0,Housing Advantaged,39.55307262569833,0.03385049365303244,0.09873060648801128,0.8674188998589563,0.4290697674418605,0.2651162790697674,0.08372093023255814,0.061519903498190594,0.30156815440289503,0.29794933655006034,0.09167671893848009,0.019861830742659757,0.5069084628670121,0.14853195164075994,0.4799054373522459,0.17494089834515367,0.1038961038961039,0.5903187721369539,0.0031718495362136,11.8681,1.6113333333333333,540000.0,4.315602836879433
E01004020,Southwark 029D,0.2754447618010618,0.6646255278559043,Q1 (best),0.5459742912150722,12.0,136.0,124.0,2,Deprived,Housing Advantaged,49.411764705882355,0.0429553264604811,0.10538373424971363,0.8516609392898052,0.32219747587230885,0.32887899034892354,0.09725315515961395,0.10027472527472528,0.32005494505494503,0.3557692307692308,0.18406593406593408,0.029205607476635514,0.39135514018691586,0.21261682242990654,0.5772357723577236,0.24390243902439024,0.07503410641200546,0.6248294679399727,0.0043154859337396,4.82233,2.705333333333333,370000.0,4.451871657754011
E01004021,Southwark 028D,0.62715622340771,0.4691466978495322,Q4,0.314008163558526,111.0,44.0,-67.0,1,Professional,Housing Deprived,39.698046181172295,0.025980160604629193,0.06991025035427492,0.9041095890410958,0.6424986056887897,0.12102621305075292,0.08310094813162298,0.05964214711729622,0.3190854870775348,0.22664015904572565,0.05467196819085487,0.014799154334038054,0.6434108527131783,0.12684989429175475,0.372,0.12,0.03636363636363636,0.7434343434343434,0.0035608512224132,16.2104,1.311904761904762,537500.0,4.325559701492537
E01033869,Southwark 004F,0.6670094618213681,0.5264457611927519,Q4,0.4434381191049362,125.5,89.0,-36.5,0,Mixed_0,Housing Deprived,40.828402366863905,0.04439890710382514,0.10245901639344263,0.8531420765027322,0.3877551020408163,0.2732919254658385,0.09937888198757763,0.11076443057722309,0.3666146645865835,0.28549141965678626,0.1544461778471139,0.0136986301369863,0.436986301369863,0.25205479452054796,0.5559006211180124,0.20496894409937888,0.08513931888544891,0.6625386996904025,0.0046903712751258,15.2282,1.0738095238095238,322200.0,4.632432432432433
