lsoa21cd,lsoa21nm,cluster_type,kmeans_label,HEI_bayes,avg_epc_rating_num_al,overcrowding_proxy_al,median_house_price_al,transport_ptai_al,hospital_al
E01004053,Southwark 001C,C,0,0.3807181927181575,0.2193363638133665,0.5026365263212592,0.187719367433057,0.9255285901353056,0.5558506650964814
E01004054,Southwark 001D,A,1,0.2902806191139067,0.3850578069943363,0.5405631204757735,0.1616910517805743,0.9956703235429936,0.2904294733559102
E01004055,Southwark 001E,A,1,0.3537594265877727,0.4130678774778097,0.354997251091611,0.258705682848919,0.9988329939166838,0.4518074695627364
E01004056,Southwark 008A,C,0,0.5610221616603885,0.2727520077443117,0.5539587046496156,0.168986867531649,0.9982682461614552,0.6972309558753782
E01004057,Southwark 008B,C,0,0.558089906118273,0.330168443480443,0.5428992538798892,0.1561698939148962,0.957104697781781,0.693482298896565
E01004058,Southwark 008C,C,0,0.3405936670724467,0.2035268091663145,0.5707155071685065,0.1055590172339005,1.0,0.4605077891213229
E01004059,Southwark 008D,A,1,0.3522611274399779,0.3703466643552715,0.5133915140717731,0.3947627873959876,0.8604804729785569,0.3888194393030579
E01004060,Southwark 008E,C,0,0.3604585101539004,0.3830341415220202,0.494829532776363,0.1447332097645629,0.8448247154901223,0.4916373613604511
E01004061,Southwark 025A,D,2,0.3829936183287687,0.6493376356342972,0.2658788971443405,0.2113814725716777,0.8037008767469914,0.5233422788289985
E01004062,Southwark 025B,C,0,0.58680872972606,0.465126829017826,0.6387813082054219,0.1392120518988847,0.7279736667338932,0.7237146534416754
E01004063,Southwark 025C,D,2,0.4528556624694126,0.5565455514586843,0.3614895716345537,0.2705367354182293,0.7808237715163747,0.5947403117368946
E01004064,Southwark 026D,C,0,0.6025003046492073,0.4042376643636656,0.5550745492087347,0.1049019994478848,0.8331181487482734,0.7823783534021789
E01004065,Southwark 025D,D,2,0.6331149324364368,0.5955743049363034,0.286772868868473,0.2823677879875396,0.8258128197904251,0.8379628640921497
E01004066,Southwark 025E,C,0,0.674429587322687,0.4594791638312955,0.4687857116319374,0.1699727885790916,0.7972892738126549,0.9099520393560288
E01004067,Southwark 022E,C,0,0.3420156826512924,0.4006444569894709,0.5713451051542434,0.0694088417399538,0.6372770642295352,0.5474770080236989
E01004068,Southwark 026E,C,0,0.6981493900632073,0.4145627930017017,0.4541959838661923,0.1470994202784249,0.8635701522709764,0.9287057834469216
E01004069,Southwark 031A,D,2,0.5492521741092379,0.9146012227257708,0.0,1.0,0.9774876645876176,0.4192396689663986
E01004070,Southwark 031B,D,2,0.5707151806420221,0.8838751684733949,0.11626644499478,0.29814252474662,0.9025778717403394,0.6607924866939403
E01004071,Southwark 030D,D,2,0.7496303091771558,0.8130274116502321,0.3544072989179446,0.1821982095673789,0.9292807879068716,0.8079910985463065
E01004072,Southwark 030E,D,2,0.7903254013031452,0.9094132952581552,0.0793885362364382,0.4811294711519529,0.9384088202862212,0.8808218976636218
E01004073,Southwark 031C,D,2,0.6759020127321148,0.8406702023937154,0.1462720430448053,0.5426509445123666,0.8557173902035987,0.746709398255962
E01004074,Southwark 031D,D,2,0.8122097813442327,0.975857070808372,0.0301305132362764,0.6747643648696651,0.8542689734346356,0.8839254828532802
E01004075,Southwark 031E,D,2,0.7264202266362394,1.0,0.0,1.0,0.982625034015114,0.6007468463059706
E01032583,Southwark 034D,B,3,0.5668828636061449,0.2983899655190694,0.7160284750287593,0.518988839373746,0.0,0.9593331981583724
E01032584,Southwark 034E,B,3,0.4429267452007578,0.3411421328627981,0.673003744520047,0.1601135781046663,0.0,0.9053747049418076
E01032637,Southwark 035E,C,0,0.6866168661101588,0.2768189631511096,0.7193534948953945,0.3493907007926825,0.7816003385600063,0.8049564819164182
E01032638,Southwark 035D,C,0,0.7034946645418025,0.2782358622205649,0.5076033932422631,0.3020862089363901,0.947562876474376,0.9008227799969756
E01032639,Southwark 014F,B,3,0.4640741231537809,0.2549730775497114,0.869297211147666,0.1818038411484019,0.4436848100414206,0.6429773534936605
E01032640,Southwark 035B,D,2,0.536410844155795,0.4176490122197124,0.4202709289297288,0.4243404188192634,0.7851959787566879,0.6957891044516111
E01032646,Southwark 036B,B,3,0.5141116507968286,0.3105335008866008,0.6626201127532285,0.1936348937177122,0.5158899930221869,0.7745151865695781
E01032719,Southwark 014G,B,3,0.7301716411652411,0.4596455842207027,0.8422784252834665,0.0654651575501837,0.3630410700938749,0.981171152129241
E01033873,Southwark 009G,B,3,0.5850612932259673,0.2627513483729167,1.0,0.0496904207911033,0.4372265508761583,0.7716052569418359
E01033874,Southwark 009H,B,3,0.5850612932259673,0.2627513483729167,1.0,0.0496904207911033,0.4372265508761583,0.7716052569418359
E01033875,Southwark 012G,C,0,0.5695793563416512,0.4434239097301219,0.7466169781006844,0.2113814725716777,0.5782279015647126,0.6971533177217908
E01033876,Southwark 012H,C,0,0.5695793563416512,0.4434239097301219,0.7466169781006844,0.2113814725716777,0.5782279015647126,0.6971533177217908
E01033877,Southwark 012I,C,0,0.5695793563416512,0.4434239097301219,0.7466169781006844,0.2113814725716777,0.5782279015647126,0.6971533177217908
E01032803,Southwark 036C,B,3,0.4987611555395754,0.1537758269730906,0.7034663504110202,0.2429309460898385,0.427184056370663,0.8404752901980636
E01033882,Southwark 022G,C,0,0.4716150029712617,0.4767310657097815,0.4379575422004819,0.1640572622944364,0.7685676980547332,0.6609375893781321
E01033883,Southwark 022H,C,0,0.4716150029712617,0.4767310657097815,0.4379575422004819,0.1640572622944364,0.7685676980547332,0.6609375893781321
E01032834,Southwark 035C,D,2,0.7899367459683913,0.3656236857246694,0.5154860004110459,0.5584256812714471,0.929992036227207,0.8718008100456817
